name,ring,quadrant,isNew,description
Storage Account,adopt,platforms,FALSE,""
Key Vault,adopt,platforms,FALSE,""
Gitlab,adopt,platforms,FALSE,""
Container Registry,adopt,platforms,FALSE,""
Log Analytics Workspace,adopt,platforms,FALSE,""
AKS,adopt,platforms,FALSE,""
Bash,adopt,languages & frameworks,FALSE,""
HCL (Terraform),adopt,languages & frameworks,FALSE,""
YAML,adopt,languages & frameworks,FALSE,""
ReGo,adopt,languages & frameworks,FALSE,""
Open Tofu Controller,adopt,tools,TRUE,""
Helm,adopt,tools,TRUE,""
Argo CD,adopt,tools,TRUE,""
Sigstore,adopt,tools,TRUE,""
Policy Controller,assess,tools,TRUE,""
